Mouse ID,Genetic Background,Gender,DOB,Weaning Date,Age,Parent Crossing,Strain 1,Strain 2,Strain 3,Experiments? ,Date of Euthanization,Notes
Pax2-Cre-B6N-Cdh23-KI-03172024-12M,,Male,3/17/2024,4/12/2024,,2237/2238,Pax2-Cre,B6N-Cdh23-KI,,,4/12/2024,
Pax2-Cre-B6N-Cdh23-KI-03172024-13M,,Male,3/17/2024,4/12/2024,,2237/2238,Pax2-Cre,B6N-Cdh23-KI,,,4/12/2024,
C57BLBJ-Dp16-04052024-1F,,Female,4/5/2024,4/22/2024,,2660/2213,C57BL/6J (B6J),Dp16,,,4/22/2024,
C57BLBJ-Dp16-04052024-2M,,Male,4/5/2024,4/22/2024,,2661/2217,C57BL/6J (B6J),Dp16,,,4/22/2024,
Pax2-Cre-Tlr4-loxp-Cdh23-04062024-1F,,Female,4/6/2024,4/22/2024,,"2004, 2005/1704",Pax2-Cre,Tlr4-loxp,B6N-Cdh23-KI,,4/22/2024,
Pax2-Cre-Tlr4-loxp-Cdh23-04062024-2F,,Female,4/6/2024,4/22/2024,,"2004, 2005/1704",Pax2-Cre,Tlr4-loxp,B6N-Cdh23-KI,,4/22/2024,
Pax2-Cre-Tlr4-loxp-Cdh23-04062024-3F,,Female,4/6/2024,4/22/2024,,"2004, 2005/1704",Pax2-Cre,Tlr4-loxp,B6N-Cdh23-KI,,4/22/2024,
Pax2-Cre-Tlr4-loxp-Cdh23-04062024-4F,,Female,4/6/2024,4/22/2024,,"2004, 2005/1704",Pax2-Cre,Tlr4-loxp,B6N-Cdh23-KI,,4/22/2024,
Pax2-Cre-Tlr4-loxp-Cdh23-04062024-5M,,Male,4/6/2024,4/22/2024,,"2004, 2005/1704",Pax2-Cre,Tlr4-loxp,B6N-Cdh23-KI,,4/22/2024,
B6N-Cdh23-KI-01062024-1M,,Male,1/6/2024,1/29/2024,,,B6N-Cdh23-KI,,,Shreshtha Dash,4/23/2024,Transfered from Sarath on 4/23/24. 
B6N-Cdh23-KI-01062024-2M,,Male,1/6/2024,1/29/2024,,,B6N-Cdh23-KI,,,Shreshtha Dash,4/23/2024,Transfered from Sarath on 4/23/24. 
B6N-Cdh23-KI-01062024-3M,,Male,1/6/2024,1/29/2024,,,B6N-Cdh23-KI,,,Shreshtha Dash,4/23/2024,Transfered from Sarath on 4/23/24. 
B6N-Cdh23-KI-01062024-4M,,Male,1/6/2024,1/29/2024,,,B6N-Cdh23-KI,,,Shreshtha Dash,4/23/2024,Transfered from Sarath on 4/23/24. 
B6N-Cdh23-KI-01062024-5M,,Male,1/6/2024,1/29/2024,,,B6N-Cdh23-KI,,,Shreshtha Dash,4/23/2024,Transfered from Sarath on 4/23/24. 
Trpv1-flox-04072024-1F,,Female,4/7/2024,4/26/2024,,"2413, 2414/2415",Trpv1-flox,,,,4/26/2024,
Trpv1-flox-04072024-2F,,Female,4/7/2024,4/26/2024,,"2413, 2414/2415",Trpv1-flox,,,,4/26/2024,
Trpv1-flox-04072024-3M,,Male,4/7/2024,4/26/2024,,"2413, 2414/2415",Trpv1-flox,,,,4/26/2024,
Trpv1-flox-04072024-4M,,Male,4/7/2024,4/26/2024,,"2413, 2414/2415",Trpv1-flox,,,,4/26/2024,
Trpv1-flox-04072024-5M,,Male,4/7/2024,4/26/2024,,"2413, 2414/2415",Trpv1-flox,,,,4/26/2024,
Tbx1-KO-04102024-1M,,Male,4/10/2024,4/29/2024,,2396/2398,Tbx1,,,,4/29/2024,Non-circling male. 
Trpv1-flox-04092024-1M,,Male,4/9/2024,4/29/2024,,2043/2049,Trpv1-flox,B6N-Cdh23-KI,,,4/29/2024,Didn't know if needed but mom was pregnant again anyways.
Trpv1-flox-04092024-2M,,Male,4/9/2024,4/29/2024,,2043/2049,Trpv1-flox,B6N-Cdh23-KI,,,4/29/2024,Didn't know if needed but mom was pregnant again anyways.
Trpv1-flox-04092024-3M,,Male,4/9/2024,4/29/2024,,2043/2049,Trpv1-flox,B6N-Cdh23-KI,,,4/29/2024,Didn't know if needed but mom was pregnant again anyways.
Tlr7-KO-04142024-1F,,Female,4/14/2024,5/6/2024,,2435/2436,Tlr7 KO,,,,5/6/2024,
Tlr7-KO-04142024-2F,,Female,4/14/2024,5/6/2024,,2435/2436,Tlr7 KO,,,,5/6/2024,
Tlr7-KO-04142024-3F,,Female,4/14/2024,5/6/2024,,2435/2436,Tlr7 KO,,,,5/6/2024,
Tlr7-KO-04142024-4M,,Male,4/14/2024,5/6/2024,,2435/2436,Tlr7 KO,,,,5/6/2024,
Tlr7-KO-04142024-5M,,Male,4/14/2024,5/6/2024,,2435/2436,Tlr7 KO,,,,5/6/2024,
Tlr7-KO-04142024-6M,,Male,4/14/2024,5/6/2024,,2435/2436,Tlr7 KO,,,,5/6/2024,
Tlr7-KO-04172024-1F,,Female,4/17/2024,5/6/2024,,2437/2438,Tlr7 KO,,,,5/6/2024,
Tlr7-KO-04172024-2F,,Female,4/17/2024,5/6/2024,,2437/2438,Tlr7 KO,,,,5/6/2024,
Tlr7-KO-04172024-3F,,Female,4/17/2024,5/6/2024,,2437/2438,Tlr7 KO,,,,5/6/2024,
Tlr7-KO-04172024-4F,,Female,4/17/2024,5/6/2024,,2437/2438,Tlr7 KO,,,,5/6/2024,
Tlr7-KO-04172024-5F,,Female,4/17/2024,5/6/2024,,2437/2438,Tlr7 KO,,,,5/6/2024,
Tlr7-KO-04172024-6F,,Female,4/17/2024,5/6/2024,,2437/2438,Tlr7 KO,,,,5/6/2024,
Tlr7-KO-04172024-7M,,Male,4/17/2024,5/6/2024,,2437/2438,Tlr7 KO,,,,5/6/2024,
Tlr7-KO-04172024-8M,,Male,4/17/2024,5/6/2024,,2437/2438,Tlr7 KO,,,,5/6/2024,
Tlr7-KO-04172024-9M,,Male,4/17/2024,5/6/2024,,2437/2438,Tlr7 KO,,,,5/6/2024,
Tlr7-KO-04172024-10M,,Male,4/17/2024,5/6/2024,,2437/2438,Tlr7 KO,,,,5/6/2024,
Tlr7-KO-04172024-11M,,Male,4/17/2024,5/6/2024,,2437/2438,Tlr7 KO,,,,5/6/2024,
Tlr7-KO-04172024-12M,,Male,4/17/2024,5/6/2024,,2437/2438,Tlr7 KO,,,,5/6/2024,
Tlr7-KO-04172024-13M,,Male,4/17/2024,5/6/2024,,2437/2438,Tlr7 KO,,,,5/6/2024,
Tlr7-KO-04172024-14M,,Male,4/17/2024,5/6/2024,,2437/2438,Tlr7 KO,,,,5/6/2024,
Tbx1-KO-04102024-1F,,Female,4/19/2024,5/10/2024,,"1976, 1977/1978",Tbx1,,,,5/10/2024,Shaking female not needed.
Pax2-Cre-Tlr4-loxp-B6N-Cdh23-KI-04222024-1F,,Female,4/22/2024,5/13/2024,,2199/2173,Pax2-Cre,Tlr4-loxp,B6N-Cdh23-KI,,5/13/2024,Only kept equal numbers of males and females. 
Myd88-KO-B6N-Cdh23-KI-04202024-1F,,Female,4/20/2024,5/13/2024,,"2456, 2457/2458",Myd88-KO,B6N-Cdh23-KI,,,5/13/2024,Only kept equal numbers of males and females. 
Myd88-KO-B6N-Cdh23-KI-04202024-2F,,Female,4/20/2024,5/13/2024,,"2456, 2457/2458",Myd88-KO,B6N-Cdh23-KI,,,5/13/2024,Only kept equal numbers of males and females. 
Myd88-KO-B6N-Cdh23-KI-04202024-3F,,Female,4/20/2024,5/13/2024,,"2456, 2457/2458",Myd88-KO,B6N-Cdh23-KI,,,5/13/2024,Only kept equal numbers of males and females. 
Pax2-Cre-Tlr4-loxp-B6N-Cdh23-KI-04202024-1F,,Female,4/20/2024,5/13/2024,,2004/2060,Pax2-Cre,Tlr4-loxp,B6N-Cdh23-KI,,5/13/2024,Runt. 
Trpv1-flox-02212024-1,,Unknown,2/21/2024,3/14/2024,,2416/2417,Trpv1-flox,,,,3/14/2024,
Trpv1-flox-02212024-2,,Unknown,2/21/2024,3/14/2024,,2416/2417,Trpv1-flox,,,,3/14/2024,
Trpv1-flox-02212024-3,,Unknown,2/21/2024,3/14/2024,,2416/2417,Trpv1-flox,,,,3/14/2024,
Trpv1-flox-02212024-4,,Unknown,2/21/2024,3/14/2024,,2416/2417,Trpv1-flox,,,,3/14/2024,
Trpv1-flox-02212024-5,,Unknown,2/21/2024,3/14/2024,,2416/2417,Trpv1-flox,,,,3/14/2024,
Trpv1-flox-02212024-6,,Unknown,2/21/2024,3/14/2024,,2416/2417,Trpv1-flox,,,,3/14/2024,
Trpv1-flox-02212024-7,,Unknown,2/21/2024,3/14/2024,,2416/2417,Trpv1-flox,,,,3/14/2024,
Ifnr-KO-04242024-1M,,Male,4/24/2024,5/16/2024,,"2094, 2095/2096",Ifnr-KO,,,,5/16/2024,Too many males.
Trpv1-flox-B6N-Cdh23-KI-05022024-1M,,Male,5/2/2024,5/21/2024,,2043/2049,Trpv1-flox,B6N-Cdh23-KI,,,5/21/2024,Too many males.
Trpv1-flox-B6N-Cdh23-KI-05032024-1M,,Male,5/3/2024,5/22/2024,,2648/2655,Trpv1-flox,B6N-Cdh23-KI,,,5/22/2024,Too many males.
Tlr3-KO-05012024-1F,,Female,5/1/2024,5/22/2024,,"2700, 2701/2703",Tlr3-KO,,,,5/22/2024,"Runt, missing fur, other litter mates looked great."
Trpv1-KO-B6N-Cdh23-KI-05072024-1M,,Male,5/7/2024,5/27/2024,,2501/2505,Trpv1-KO,B6N-Cdh23-KI,,,5/27/2024,Runt. 
Trpv1-KO-B6N-Cdh23-KI-05072024-2M,,Male,5/7/2024,5/27/2024,,2501/2505,Trpv1-KO,B6N-Cdh23-KI,,,5/27/2024,Runt. 
Tbx1-KO-04292024-1M,,Male,4/29/2024,5/27/2024,,2396/2398,Tbx1,,,,5/27/2024,Non-circling male. 
Tbx1-KO-04292024-2M,,Male,4/29/2024,5/27/2024,,2396/2398,Tbx1,,,,5/27/2024,Non-circling male. 
Tlr4-KO-05022024-1M,,Male,5/2/2024,5/27/2024,,2448/2450,Tlr4 KO,,,,5/27/2024,Too many males.
Tlr4-loxp-B6N-Cdh23-KI-05052024-1F,,Female,5/5/2024,5/27/2024,,"2481, 2482/2485",Tlr4-loxp,B6N-Cdh23-KI,,,5/27/2024,Runt female.
Tlr4-loxp-B6N-Cdh23-KI-05052024-2M,,Male,5/5/2024,5/27/2024,,"2481, 2482/2485",Tlr4-loxp,B6N-Cdh23-KI,,,5/27/2024,Too many males.
Cachd1-KO-05062024-1F,,Female,5/6/2024,5/28/2024,,2403/2404,Cachd1-KO,,,,5/28/2024,Runt female.
Cachd1-KO-05062024-2M,,Male,5/6/2024,5/28/2024,,2403/2404,Cachd1-KO,,,,5/28/2024,Tail was corkscrewed.
Trpv1-flox-05092024-1F,,Female,5/9/2024,5/30/2024,,"2410, 2411/2412",Trpv1-flox,,,,5/30/2024,Too many females.
Trpv1-flox-05092024-2F,,Female,5/9/2024,5/30/2024,,"2410, 2411/2412",Trpv1-flox,,,,5/30/2024,Too many females.
Trpv1-flox-B6N-Cdh23-KI-05112024-1F,,Female,5/11/2024,5/31/2024,,2649/2656,Trpv1-flox,B6N-Cdh23-KI,,,5/31/2024,Didn't need for experiments and mom was pregnant again. 
Trpv1-flox-B6N-Cdh23-KI-05112024-2F,,Female,5/11/2024,5/31/2024,,2649/2656,Trpv1-flox,B6N-Cdh23-KI,,,5/31/2024,Didn't need for experiments and mom was pregnant again. 
Trpv1-flox-B6N-Cdh23-KI-05112024-3F,,Female,5/11/2024,5/31/2024,,2649/2656,Trpv1-flox,B6N-Cdh23-KI,,,5/31/2024,Didn't need for experiments and mom was pregnant again. 
Trpv1-flox-B6N-Cdh23-KI-05112024-4M,,Male,5/11/2024,5/31/2024,,2649/2656,Trpv1-flox,B6N-Cdh23-KI,,,5/31/2024,Didn't need for experiments and mom was pregnant again. 
Trpv1-flox-B6N-Cdh23-KI-05112024-5M,,Male,5/11/2024,5/31/2024,,2649/2656,Trpv1-flox,B6N-Cdh23-KI,,,5/31/2024,Didn't need for experiments and mom was pregnant again. 
Trpv1-flox-B6N-Cdh23-KI-05112024-6M,,Male,5/11/2024,5/31/2024,,2649/2656,Trpv1-flox,B6N-Cdh23-KI,,,5/31/2024,Didn't need for experiments and mom was pregnant again. 
Tlr4-loxp-B6N-Cdh23-KI-05142024-1F,,Female,5/14/2024,6/6/2024,,2482/2485,Tlr4-loxp,B6N-Cdh23-KI,,,6/6/2024,Didn't need for experiments. 
Tlr4-loxp-B6N-Cdh23-KI-05142024-2F,,Female,5/14/2024,6/6/2024,,2482/2485,Tlr4-loxp,B6N-Cdh23-KI,,,6/6/2024,Didn't need for experiments. 
Tlr4-loxp-B6N-Cdh23-KI-05142024-3F,,Female,5/14/2024,6/6/2024,,2482/2485,Tlr4-loxp,B6N-Cdh23-KI,,,6/6/2024,Didn't need for experiments. 
Tlr4-loxp-B6N-Cdh23-KI-05142024-4F,,Female,5/14/2024,6/6/2024,,2482/2485,Tlr4-loxp,B6N-Cdh23-KI,,,6/6/2024,Didn't need for experiments. 
Tlr4-loxp-B6N-Cdh23-KI-05142024-5F,,Female,5/14/2024,6/6/2024,,2482/2485,Tlr4-loxp,B6N-Cdh23-KI,,,6/6/2024,Didn't need for experiments. 
Tlr4-loxp-B6N-Cdh23-KI-05142024-6M,,Male,5/14/2024,6/6/2024,,2482/2485,Tlr4-loxp,B6N-Cdh23-KI,,,6/6/2024,Didn't need for experiments. 
Tlr4-loxp-B6N-Cdh23-KI-05142024-7M,,Male,5/14/2024,6/6/2024,,2482/2485,Tlr4-loxp,B6N-Cdh23-KI,,,6/6/2024,Didn't need for experiments. 
Trpv1-flox-05192024-1F,,Female,5/19/2024,6/6/2024,,"2413, 2414/2415",Trpv1-flox,,,,6/6/2024,Didn't need for experiments. 
Trpv1-flox-05192024-2F,,Female,5/19/2024,6/6/2024,,"2413, 2414/2415",Trpv1-flox,,,,6/6/2024,Didn't need for experiments. 
Trpv1-flox-05192024-3F,,Female,5/19/2024,6/6/2024,,"2413, 2414/2415",Trpv1-flox,,,,6/6/2024,Didn't need for experiments. 
Trpv1-flox-05192024-4F,,Female,5/19/2024,6/6/2024,,"2413, 2414/2415",Trpv1-flox,,,,6/6/2024,Didn't need for experiments. 
Trpv1-flox-05192024-5F,,Female,5/19/2024,6/6/2024,,"2413, 2414/2415",Trpv1-flox,,,,6/6/2024,Didn't need for experiments. 
Trpv1-flox-05192024-6F,,Female,5/19/2024,6/6/2024,,"2413, 2414/2415",Trpv1-flox,,,,6/6/2024,Didn't need for experiments. 
Trpv1-flox-05192024-7F,,Female,5/19/2024,6/6/2024,,"2413, 2414/2415",Trpv1-flox,,,,6/6/2024,Didn't need for experiments. 
Trpv1-flox-05192024-8M,,Male,5/19/2024,6/6/2024,,"2413, 2414/2415",Trpv1-flox,,,,6/6/2024,Didn't need for experiments. 
Trpv1-flox-05192024-9M,,Male,5/19/2024,6/6/2024,,"2413, 2414/2415",Trpv1-flox,,,,6/6/2024,Didn't need for experiments. 
Trpv1-flox-05192024-10M,,Male,5/19/2024,6/6/2024,,"2413, 2414/2415",Trpv1-flox,,,,6/6/2024,Didn't need for experiments. 
Trpv1-flox-05192024-11M,,Male,5/19/2024,6/6/2024,,"2413, 2414/2415",Trpv1-flox,,,,6/6/2024,Didn't need for experiments. 
Tlr3-KO-05132024-1F,,Female,5/13/2024,6/6/2024,,"2704, 2705/2706",Tlr3-KO,,,,6/6/2024,Didn't need for experiments. 
Tlr3-KO-05132024-2M,,Male,5/13/2024,6/6/2024,,"2704, 2705/2706",Tlr3-KO,,,,6/6/2024,Didn't need for experiments. 
Tlr3-KO-05132024-3M,,Male,5/13/2024,6/6/2024,,"2704, 2705/2706",Tlr3-KO,,,,6/6/2024,Didn't need for experiments. 
C57BL-6J-Dp16-05102024-1M,,Male,5/10/2024,6/6/2024,,2660/2213,C57BL/6J (B6J),Dp16,,,6/6/2024,Hydrocephalic. 
Tbx1-KO-05152024-1F,,Female,5/15/2024,6/7/2024,,2395/2397,Tbx1,,,,6/7/2024,Extra or circling female not needed. 
Tbx1-KO-05152024-2F,,Female,5/15/2024,6/7/2024,,2395/2397,Tbx1,,,,6/7/2024,Extra or circling female not needed. 
Tbx1-KO-05152024-3F,,Female,5/15/2024,6/7/2024,,2395/2397,Tbx1,,,,6/7/2024,Extra or circling female not needed. 
Tbx1-KO-05152024-4F,,Female,5/15/2024,6/7/2024,,2395/2397,Tbx1,,,,6/7/2024,Extra or circling female not needed. 
Trpv1-flox-B6N-Cdh23-KI-05212024-1M,,Male,5/21/2024,6/10/2024,,2648/2655,Trpv1-flox,B6N-Cdh23-KI,,,6/10/2024,Extra male not needed.
C57BL-6J-05162024-1F,,Female,5/16/2024,6/10/2024,,2664/2666,C57BL/6J (B6J),,,,6/10/2024,Extra female not needed.
